,10-Jul,8-Jul,6-Jul,4-Jul,2-Jul,30-Jun,28-Jun,26-Jun,24-Jun,22-Jun,20-Jun,18-Jun,16-Jun,14-Jun,12-Jun,10-Jun,8-Jun,6-Jun,4-Jun,2-Jun,31-May,29-May,27-May,25-May,23-May,21-May,18-May,16-May,14-May,12-May,10-May,8-May,6-May,4-May,2-May,30-Apr,28-Apr,26-Apr,24-Apr,22-Apr,20-Apr,18-Apr,16-Apr,14-Apr,12-Apr
Squirrel Hill,72,69,67,60,55,54,51,50,48,47,47,47,47,46,45,45,42,41,40,39,39,39,38,35,35,35,35,35,35,34,34,34,32,32,32,32,31,31,30,30,29,29,30,30,30
Oakland,118,87,87,73,60,46,37,31,31,30,30,31,31,30,30,29,29,29,29,29,29,28,26,26,26,26,26,24,23,23,16,16,15,15,15,14,14,14,14,9,9,9,7,7,8
Shadyside,130,129,124,120,116,115,114,114,112,112,111,107,107,107,106,106,105,104,101,99,97,88,78,74,65,59,47,47,42,36,35,31,28,24,18,15,15,15,14,14,14,13,13,13,13
Ross,104,95,88,79,69,61,58,51,47,46,46,45,45,44,44,44,44,44,44,44,44,42,42,40,36,37,28,22,19,19,19,19,19,19,19,18,16,16,14,14,14,15,14,13,13
Franklin Park,34,31,22,18,18,18,18,18,18,18,17,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12
Richland,87,87,86,86,86,85,85,82,80,80,79,77,77,77,76,76,75,77,77,77,77,77,77,78,77,77,79,77,77,77,77,77,77,77,77,76,69,65,62,61,54,54,50,50,47
Mccandless,101,92,83,76,70,63,63,60,60,59,57,57,56,56,56,56,55,55,54,53,53,50,48,50,48,46,41,40,32,31,31,31,31,31,28,28,28,28,27,27,26,25,25,24,24
O’Hara,20,17,16,13,13,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,7
Fox Chapel,20,18,14,13,9,8,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4
South Side,128,123,109,92,74,57,45,37,32,28,26,23,23,23,23,22,22,21,21,20,20,18,18,17,16,15,15,15,15,15,15,15,14,14,14,13,13,13,13,12,11,11,8,8,8
Upper S Clair,56,55,51,47,42,36,27,23,23,21,21,21,21,21,21,21,21,22,21,21,21,21,20,20,20,21,20,20,19,19,19,19,19,19,19,19,19,19,19,17,17,17,15,16,15
Bethel park,68,61,53,48,44,42,39,36,36,35,33,32,32,31,31,29,29,29,28,27,25,25,24,24,24,25,23,23,23,22,22,20,20,20,20,20,18,18,17,17,17,17,16,16,15
Baldwin,100,92,77,77,72,62,60,52,52,46,44,39,39,37,36,31,31,29,28,28,28,26,27,26,23,23,21,21,21,21,21,19,19,19,19,19,19,19,19,18,18,18,17,17,17
Mount lebanon,94,87,65,65,57,48,41,34,30,29,29,30,30,30,30,29,29,29,29,28,28,27,26,26,25,25,24,23,23,23,23,23,22,22,22,22,22,21,19,19,17,17,16,13,13
Mount Washington,66,61,36,36,26,23,17,15,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,9,9,9
Moon,94,87,68,68,64,58,53,52,51,48,46,38,38,34,34,33,26,26,25,25,25,25,25,25,25,25,25,25,25,25,23,23,23,22,22,22,22,22,22,21,20,21,18,18,16
Robinson,47,43,38,38,27,26,21,20,18,18,17,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,12,13,11,12,11,11,11
Penn hills,148,132,104,104,97,87,81,74,73,72,70,68,63,63,63,62,62,62,62,62,62,60,60,56,56,54,51,49,47,45,42,42,42,40,38,37,36,36,36,33,31,30,25,25,20
Monroeville,98,89,75,75,69,58,52,52,47,42,39,38,38,38,39,39,39,38,38,37,37,36,36,36,35,34,34,34,33,32,32,32,29,29,29,25,23,23,22,20,21,19,16,15,15
Wilkinsburg,88,85,80,80,78,75,74,72,72,71,71,68,70,67,66,66,66,66,67,65,65,65,64,64,64,62,62,61,57,58,57,51,30,30,30,27,25,23,22,22,21,19,20,15,15
